"decimalLongitude","decimalLatitude"
76.9197,12.871564
76.324936,12.279472
77.3386,12.287004
76.09381,11.82242
77.10953,8.766403
76.6911,11.536838
77.52,8.520667
76.399956,11.306361
76.78336,10.10749
79.35137,13.663561
76.84388,10.47156
76.58618,12.712432
77.41527,8.741583
76.72251,12.744235
76.41437,11.301627
76.06765,12.353442
76.56865,11.482902
76.90892,12.8219
77.25342,12.313619
78.44238,13.651325
77.553734,8.531016
77.06617,9.317317
76.668,12.046
77.92286,10.656316
77.18767,10.284611
77.15524,8.955231
77.40565,8.7437
77.15033,10.116203
76.6825,11.46
78.77862,10.174476
76.15946,11.43847
77.05941,10.13683
77.467415,12.930423
76.12847,11.595
76.646324,12.299138
76.93485,10.338101
77.19142,13.368995
76.10977,11.595677
77.66337,8.706983
77.547585,8.677067
76.92992,12.942163
76.72903,11.41037
77.5778,8.351283
76.645805,11.528729
76.272026,13.299174
80.27045,13.00876
77.13435,10.288484
77.50511,8.687417
77.588135,8.634767
80.0945,12.880254
77.48992,10.236208
76.95345,8.487342
77.938446,10.011511
76.2466,11.6776
76.41858,12.130097
76.56646,12.277743
76.39958,12.225988
76.61998,12.317068
77.2485,9.817176
77.566734,8.47005
79.30867,12.170114
77.493195,8.681194
76.66923,12.267479
76.6945,10.126249
77.05557,12.38154
77.09326,9.558862
78.178734,10.080589
77.58588,11.108921
76.70602,10.106731
76.27277,9.988261
76.58702,11.720601
76.38346,9.526904
77.07146,10.055862
77.59658,12.963022
76.23104,11.479015
76.9376,10.351512
79.49604,10.397663
76.72787,10.141617
76.64584,8.844068
76.38794,11.413483
76.656944,12.425177
76.74,12.17
80.249825,12.796121
77.06982,9.417566
77.06922,10.059121
76.12068,12.031425
77.631065,12.927517
77.42,12.54
76.63816,12.296019
76.9278,10.539845
76.73786,10.554
76.65,12.22
77.1925,10.202117
77.121864,10.036716
76.65144,10.446722
76.38703,10.05859
76.59308,11.535145
76.69042,10.127864
79.32052,10.700861
76.57857,9.591356
76.9398,12.32233
77.3003,12.752204
77.5856,8.578917
80.26632,12.980443
76.12773,11.471806
76.71309,10.103001
79.950005,13.824402
76.26945,10.436866
76.55125,12.316986
76.922134,10.345537
77.49792,8.669278
76.05547,11.50789
77.09568,8.918633
77.43353,12.913343
77.567085,13.021869
76.403076,9.435514
80.16576,12.980074
77.2456,9.585
77.57777,8.617717
76.70598,11.357487
76.6789,12.41623
76.56811,12.349344
78.2164,10.0773
76.66526,10.129773
76.20332,10.346901
76.62686,10.232702
76.99602,9.5629
76.88734,8.509967
79.8887,13.812735
77.179016,9.594548
77.3485,9.576016
77.575966,8.6351
76.5257,11.6376
76.80998,10.445267
77.40928,9.633522
76.53831,12.159451
77.52285,8.320416
77.05795,10.075235
77.17431,9.596861
79.77662,11.98101
76.76405,10.420234
76.692215,12.278057
77.220924,10.360743
76.538246,11.062517
77.48855,10.232267
76.690704,12.285118
77.662415,13.38938
76.50221,10.085498
76.39412,12.216831
76.46057,12.328892
76.94476,12.342297
77.55995,8.417467
77.12815,8.709066
76.539276,9.604545
77.04836,12.351352
77.58734,12.889688
76.083336,11.816667
76.33299,12.235632
76.52054,9.597451
76.567924,9.553185
77.2726,12.436127
76.150986,11.546803
76.53166,12.236255
80.25367,13.064012
80.208626,12.655715
77.17635,9.566237
77.03779,11.934834
77.57309,12.955044
76.4892,9.11855
76.51667,9.433333
77.49148,12.880507
76.62065,10.861988
76.24844,11.72508
76.79679,12.381419
77.57265,8.623583
77.24626,11.504931
76.474754,10.726639
77.2137,9.3505
76.91151,10.293781
77.22861,8.823586
77.5592,8.673266
77.35423,8.774767
77.377884,8.762683
76.57024,12.381833
76.94837,12.297853
77.2768,12.7151
76.96939,8.453207
76.42328,12.121168
